Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,167.289993,170.130005,166.929993,168.839996,146.078110,6401800
2010-01-04,170.050003,174.250000,169.509995,173.080002,149.746597,9135000
2010-01-05,173.000000,176.259995,172.570007,176.139999,152.394012,11659400
2010-01-06,175.380005,175.380005,173.759995,174.259995,150.767426,7381100
2010-01-07,174.320007,178.750000,173.949997,177.669998,153.717728,8727400
2010-01-08,176.330002,177.429993,173.949997,174.309998,150.810715,7268100
2010-01-11,175.059998,175.059998,170.520004,171.559998,148.431473,7704900
2010-01-12,170.009995,170.479996,167.029999,167.820007,145.195648,10360100
2010-01-13,168.009995,169.669998,166.119995,169.070007,146.277084,11269500
2010-01-14,168.000000,170.720001,167.210007,168.529999,145.809952,10521400
2010-01-15,167.600006,167.800003,164.580002,165.210007,142.937515,10896300
2010-01-19,165.009995,167.399994,163.899994,166.860001,144.365051,7705300
2010-01-20,165.800003,168.179993,164.320007,167.789993,145.169678,8893900
2010-01-21,169.289993,171.000000,156.770004,160.869995,139.182617,51738300
2010-01-22,158.690002,159.750000,152.250000,154.119995,133.342575,30175600
2010-01-25,156.130005,158.300003,154.500000,154.979996,134.086639,17877000
2010-01-26,154.910004,156.500000,150.699997,150.880005,130.539398,15985900
2010-01-27,150.750000,152.929993,148.270004,151.500000,131.075775,19899000
2010-01-28,154.229996,155.199997,149.949997,153.289993,132.624527,16160700
2010-01-29,154.440002,154.880005,147.809998,148.720001,128.670609,18502800
2010-02-01,149.820007,155.250000,149.210007,153.130005,132.486053,12980800
2010-02-02,153.649994,157.500000,153.649994,156.940002,135.782410,17246600
2010-02-03,157.919998,159.940002,157.110001,157.229996,136.033325,16785200
2010-02-04,155.270004,156.059998,150.449997,150.679993,130.366364,18895000
2010-02-05,150.820007,154.460007,148.869995,154.160004,133.377213,18759200
2010-02-08,154.270004,154.600006,150.820007,151.100006,130.729721,10257300
2010-02-09,152.699997,153.529999,149.649994,152.490005,131.932343,14017300
2010-02-10,152.770004,155.350006,151.759995,153.630005,132.918655,10555300
2010-02-11,154.399994,155.320007,152.250000,154.050003,133.282059,11163400
2010-02-12,152.369995,154.500000,151.139999,153.929993,133.178162,10293200
2010-02-16,155.300003,157.740005,154.600006,157.399994,136.180405,11497100
2010-02-17,158.000000,158.190002,155.809998,157.259995,136.059311,10070000
2010-02-18,155.610001,156.589996,154.880005,155.729996,134.735550,10991100
2010-02-19,154.509995,157.000000,154.490005,156.179993,135.124878,8693000
2010-02-22,157.199997,157.970001,156.029999,156.710007,135.583435,7375500
2010-02-23,156.809998,160.210007,155.910004,156.699997,135.574829,15696000
2010-02-24,157.339996,159.250000,156.869995,158.330002,136.985016,8361500
2010-02-25,156.229996,156.440002,154.320007,156.440002,135.349838,10519900
2010-02-26,156.259995,156.990005,155.259995,156.350006,135.575272,7812700
2010-03-01,156.509995,158.289993,156.169998,156.539993,135.740005,6522800
2010-03-02,157.179993,159.750000,156.910004,158.750000,137.656372,11986400
2010-03-03,159.039993,159.449997,157.229996,157.720001,136.763260,10006000
2010-03-04,158.250000,163.850006,158.110001,163.610001,141.870605,15439500
2010-03-05,165.110001,168.250000,165.000000,167.179993,144.966278,12226700
2010-03-08,167.880005,170.690002,167.460007,169.839996,147.272812,9344500
2010-03-09,169.220001,172.199997,168.000000,168.850006,146.414398,12958700
2010-03-10,170.259995,172.339996,168.869995,171.940002,149.093811,13107200
2010-03-11,171.399994,173.570007,171.100006,173.509995,150.455200,8910600
2010-03-12,175.009995,176.339996,174.000000,174.960007,151.712524,10216900
2010-03-15,173.949997,175.199997,170.380005,173.529999,150.472473,13958600
2010-03-16,174.330002,176.419998,173.559998,176.190002,152.779068,11687700
2010-03-17,176.860001,177.880005,175.570007,176.639999,153.169296,10138600
2010-03-18,176.199997,177.750000,175.660004,177.449997,153.871628,6883500
2010-03-19,177.899994,178.210007,175.949997,177.899994,154.261826,10896600
2010-03-22,176.210007,176.949997,175.229996,176.160004,152.753067,7320400
2010-03-23,176.250000,176.809998,173.289993,174.830002,151.599762,10804800
2010-03-24,173.639999,175.960007,173.639999,174.410004,151.235565,8396100
2010-03-25,175.240005,178.729996,174.779999,174.899994,151.660431,9534300
2010-03-26,175.380005,175.479996,171.910004,172.869995,149.900208,11811500
2010-03-29,173.869995,174.429993,171.639999,174.050003,150.923447,11785600
2010-03-30,174.259995,174.779999,170.699997,171.380005,148.608170,8184600
2010-03-31,170.000000,171.660004,169.850006,170.630005,147.957870,8243200
2010-04-01,171.720001,172.000000,169.500000,170.220001,147.602310,6480600
2010-04-05,170.679993,173.369995,169.770004,173.160004,150.151627,6135000
2010-04-06,172.610001,173.889999,172.149994,172.899994,149.926239,7743600
2010-04-07,172.889999,177.899994,172.809998,176.360001,152.926514,13887200
2010-04-08,176.100006,180.800003,175.279999,179.500000,155.649261,10668800
2010-04-09,180.279999,181.000000,177.500000,179.119995,155.319687,8462000
2010-04-12,179.360001,180.380005,177.839996,177.839996,154.209793,6040800
2010-04-13,177.559998,180.000000,177.110001,179.250000,155.432510,6466400
2010-04-14,183.910004,185.940002,183.070007,184.919998,160.349075,12556400
2010-04-15,185.539993,185.600006,183.660004,184.270004,159.785446,7838700
2010-04-16,183.619995,186.410004,155.550003,160.699997,139.347260,102043700
2010-04-19,155.600006,163.729996,155.000000,163.320007,141.619141,54299200
2010-04-20,166.440002,166.710007,158.000000,159.979996,138.722961,42196600
2010-04-21,161.669998,163.139999,157.000000,158.929993,137.812500,30371000
2010-04-22,157.929993,162.000000,156.289993,159.050003,137.916550,24823000
2010-04-23,160.190002,160.720001,157.000000,157.399994,136.485748,14916000
2010-04-26,156.720001,156.990005,151.520004,152.029999,131.829254,30940700
2010-04-27,150.250000,156.190002,150.149994,153.039993,132.705048,34516800
2010-04-28,156.660004,157.649994,154.690002,157.009995,136.147629,21226100
2010-04-29,159.550003,161.050003,158.339996,160.240005,138.948410,18464300
2010-04-30,151.899994,152.500000,143.300003,145.199997,125.906769,73187900
2010-05-03,147.839996,150.649994,146.539993,149.500000,129.635452,28282700
2010-05-04,149.029999,152.350006,147.830002,149.449997,129.592148,30313400
2010-05-05,148.100006,151.220001,147.199997,148.190002,128.499512,18355200
2010-05-06,147.479996,148.630005,139.059998,142.320007,123.409523,22984700
2010-05-07,145.380005,146.550003,141.500000,142.990005,123.990471,21268500
2010-05-10,149.089996,149.899994,141.199997,143.830002,124.718842,23098200
2010-05-11,142.399994,145.500000,141.550003,141.970001,123.106026,15497900
2010-05-12,144.240005,147.649994,142.279999,147.199997,127.641037,15457000
2010-05-13,148.360001,148.449997,144.419998,144.649994,125.429924,11517900
2010-05-14,143.410004,144.149994,141.899994,143.229996,124.198601,10977400
2010-05-17,143.470001,144.300003,138.529999,142.639999,123.686974,16330100
2010-05-18,143.690002,143.750000,136.600006,137.360001,119.108566,18025300
2010-05-19,137.949997,140.130005,136.100006,140.100006,121.484489,18079900
2010-05-20,138.199997,139.490005,135.750000,136.100006,118.015938,16279200
2010-05-21,137.080002,143.449997,136.250000,140.619995,121.935371,25553400
2010-05-24,142.000000,142.949997,136.509995,136.690002,118.527580,16556800
2010-05-25,134.729996,143.190002,134.199997,142.559998,123.617569,21490900
2010-05-26,144.289993,145.800003,139.690002,140.300003,121.657906,17073900
2010-05-27,142.929993,145.050003,141.039993,144.949997,126.004341,12910200
2010-05-28,144.419998,145.800003,143.100006,144.259995,125.404549,10683700
2010-06-01,144.259995,146.399994,141.699997,141.860001,123.318283,9455200
2010-06-02,142.000000,145.000000,141.139999,144.830002,125.900055,7668400
2010-06-03,144.910004,145.250000,142.500000,144.039993,125.213318,7454900
2010-06-04,142.169998,145.869995,141.710007,142.250000,123.657280,14900400
2010-06-07,142.279999,143.270004,137.850006,138.679993,120.553894,12238600
2010-06-08,139.139999,139.679993,135.050003,137.779999,119.771530,14587000
2010-06-09,138.589996,139.419998,136.220001,136.800003,118.919594,8950600
2010-06-10,137.600006,137.770004,131.300003,133.770004,116.285683,21931000
2010-06-11,133.330002,136.050003,133.000000,135.639999,117.911255,9241800
2010-06-14,137.110001,137.110001,133.399994,133.440002,115.998756,10951400
2010-06-15,134.630005,137.399994,133.300003,136.899994,119.006554,10649300
2010-06-16,136.059998,138.259995,135.710007,137.059998,119.145592,7077700
2010-06-17,136.949997,138.380005,135.220001,137.320007,119.371643,8104300
2010-06-18,137.820007,139.720001,137.520004,138.179993,120.119209,10154900
2010-06-21,139.649994,140.149994,137.309998,137.740005,119.736771,8691000
